city,province,lat,long
Tracadie,New Brunswick,47.51431428,-64.91885956
Meadow Lake,Saskatchewan,54.1242,-108.4358
Lanark Highlands,Ontario,45.088,-76.517
Sackville,New Brunswick,45.9,-64.3667
Grand Falls,New Brunswick,47.0344,-67.7394
Armstrong,British Columbia,50.4483,-119.1961
Cochrane,Ontario,49.0667,-81.0167
La Ronge,Saskatchewan,55.1,-105.3
Marystown,Newfoundland and Labrador,47.1667,-55.1667
Sioux Lookout,Ontario,50.1,-91.9167
Didsbury,Alberta,51.6658,-114.1311
Deer Lake,Newfoundland and Labrador,49.1744,-57.4269
Woodstock,New Brunswick,46.1522,-67.5983
Flin Flon,Saskatchewan,54.7667,-101.8778
Brokenhead,Manitoba,50.1428,-96.5319
Burton,New Brunswick,45.8009,-66.4066
Montreal-Ouest,Quebec,45.4536,-73.6472
Spallumcheen,British Columbia,50.4462,-119.2121
Westlock,Alberta,54.1522,-113.8511
Temiscouata-sur-le-Lac,Quebec,47.68,-68.88
Osoyoos,British Columbia,49.0325,-119.4661
Saint Marys,New Brunswick,46.1748,-66.4897
Hearst,Ontario,49.6869,-83.6544
Metchosin,British Columbia,48.3819,-123.5378
Wolfville,Nova Scotia,45.0833,-64.3667
Breslau,Ontario,43.4816,-80.408
Stonewall,Manitoba,50.1344,-97.3261
Memramcook,New Brunswick,46,-64.55
Sainte-Anne-de-Bellevue,Quebec,45.4039,-73.9525
Stirling-Rawdon,Ontario,44.3667,-77.5917
Mont-Orford,Quebec,45.3661,-72.1838
Ste. Anne,Manitoba,49.6186,-96.5708
Espanola,Ontario,46.25,-81.7667
West Elgin,Ontario,42.5833,-81.6667
Flin Flon (Part),Manitoba,54.7712,-101.8419
Grand Bay-Westfield,New Brunswick,45.3608,-66.2415
East Ferris,Ontario,46.2667,-79.3
Neepawa,Manitoba,50.2289,-99.4656
North Huron,Ontario,43.83,-81.42
Saint-Germain-de-Grantham,Quebec,45.8333,-72.5667
Saint-Cyrille-de-Wendover,Quebec,45.9333,-72.4333
Chisasibi,Quebec,53.6645,-78.7938
Southwold,Ontario,42.75,-81.3167
Chertsey,Quebec,46.17,-73.92
Shippagan,New Brunswick,47.8557,-64.6012
Lanoraie,Quebec,45.9667,-73.2167
Centre Hastings,Ontario,44.4167,-77.4417
Coverdale,New Brunswick,46.0003,-64.8859
Warwick,Quebec,45.95,-71.9833
Hanwell,New Brunswick,45.8681,-66.7947
Napierville,Quebec,45.1833,-73.4
Waterloo,Quebec,45.35,-72.5167
Saint-Joseph-de-Beauce,Quebec,46.3,-70.8833
White City,Saskatchewan,50.4353,-104.3572
Lucan Biddulph,Ontario,43.2,-81.3833
Berthierville,Quebec,46.0833,-73.1833
Riviere-Rouge,Quebec,46.4167,-74.8667
Greenstone,Ontario,50,-86.7333
Kindersley,Saskatchewan,51.4678,-109.1567
Saint-Denis-de-Brompton,Quebec,45.45,-72.0833
Jasper,Alberta,52.9013,-118.1312
Barrhead,Alberta,54.1167,-114.4
Melville,Saskatchewan,50.9306,-102.8078
Amqui,Quebec,48.4667,-67.4333
Saint-Mathias-sur-Richelieu,Quebec,45.4667,-73.2667
Tyendinaga,Ontario,44.3,-77.2
Iroquois Falls,Ontario,48.7667,-80.6667
Havelock-Belmont-Methuen,Ontario,44.5667,-77.9
Cornwallis,Manitoba,49.7981,-99.8481
Saint-Boniface,Quebec,46.5,-72.8167
Westbank,British Columbia,49.8423,-119.6743
Edenwold No. 158,Saskatchewan,50.5166,-104.3451
Cumberland,British Columbia,49.6206,-125.0261
Goulds,Newfoundland and Labrador,47.4517,-52.7647
Vanderhoof,British Columbia,54.0143,-124.0089
Chateau-Richer,Quebec,46.9667,-71.0167
Saint Stephen,New Brunswick,45.2,-67.2833
Nipawin,Saskatchewan,53.3572,-104.0192
Battleford,Saskatchewan,52.7383,-108.3153
Hampton,New Brunswick,45.52514912,-65.84254614
Montreal-Est,Quebec,45.63,-73.52
Central Frontenac,Ontario,44.7167,-76.8
Saint-Antonin,Quebec,47.7667,-69.4833
Saint-Jean-de-Matha,Quebec,46.23,-73.53
Headingley,Manitoba,49.8681,-97.3908
Seguin,Ontario,45.2882,-79.8116
Beresford,New Brunswick,47.6992726,-65.70507484
La Pocatiere,Quebec,47.3667,-70.0333
Bowen Island,British Columbia,49.3833,-123.3833
Caraquet,New Brunswick,47.7853,-64.9592
Altona,Manitoba,49.1044,-97.5625
Roxton Pond,Quebec,45.4833,-72.6667
Saint-Etienne-des-Gres,Quebec,46.4333,-72.7667
Grand Forks,British Columbia,49.0333,-118.44
New Maryland,New Brunswick,45.8911,-66.6847
Port Hardy,British Columbia,50.7225,-127.4928
Saint-Donat,Quebec,46.3167,-74.2167
Madawaska Valley,Ontario,45.5,-77.6667
Deep River,Ontario,46.1,-77.4917
Asphodel-Norwood,Ontario,44.3531,-78.0183
Red Lake,Ontario,51.0333,-93.8333
Metabetchouan-Lac-a-la-Croix,Quebec,48.4333,-71.8667
Maniwaki,Quebec,46.375,-75.9667
Vermilion,Alberta,53.3542,-110.8528
Hastings Highlands,Ontario,45.2333,-77.9333
Prescott,Ontario,44.7167,-75.5167
Carstairs,Alberta,51.5619,-114.0953
Danville,Quebec,45.7833,-72.0167
Channel-Port aux Basques,Newfoundland and Labrador,47.5694,-59.1361
Lac-Etchemin,Quebec,46.4,-70.5
Saint-Jacques,Quebec,45.95,-73.5667
Swan River,Manitoba,52.1058,-101.2667
Stellarton,Nova Scotia,45.5567,-62.66
Northern Bruce Peninsula,Ontario,45.08,-81.38
L'Islet-sur-Mer,Quebec,47.1,-70.35
Carleton-sur-Mer,Quebec,48.1,-66.1333
Sparwood,British Columbia,49.7331,-114.8853
Casselman,Ontario,45.3,-75.0833
Oka,Quebec,45.47,-74.08
Callander,Ontario,46.1781,-79.4125
Amaranth,Ontario,43.9833,-80.2333
Marmora and Lake,Ontario,44.6425,-77.7372
Raymond,Alberta,49.4658,-112.6508
Morin-Heights,Quebec,45.9,-74.25
Dundas,New Brunswick,46.3155,-64.6947
Simonds,New Brunswick,45.3145,-65.803
Crabtree,Quebec,45.9667,-73.4667
Bancroft,Ontario,45.05,-77.85
Saint-Tite,Quebec,46.7333,-72.5667
Howick,Ontario,43.9,-81.07
Dutton/Dunwich,Ontario,42.6667,-81.5
New Richmond,Quebec,48.1667,-65.8667
Perth South,Ontario,43.3,-81.15
Claresholm,Alberta,50.0194,-113.5783
Baie-d'Urfe,Quebec,45.4167,-73.9167
Montague,Ontario,44.9667,-75.9667
Saint-Andre-Avellin,Quebec,45.7167,-75.0667
Saint-Ambroise-de-Kildare,Quebec,46.0833,-73.55
East Angus,Quebec,45.4833,-71.6667
Rossland,British Columbia,49.0786,-117.7992
Mackenzie,British Columbia,55.3381,-123.0944
Golden,British Columbia,51.3019,-116.9667
Saint-Adolphe-d'Howard,Quebec,45.97,-74.33
Warwick,Ontario,43,-81.8917
Bonnechere Valley,Ontario,45.5333,-77.1
Pincher Creek,Alberta,49.4861,-113.95
Alnwick,New Brunswick,47.2656,-65.2292
Saint-Prosper,Quebec,46.2167,-70.4833
Crossfield,Alberta,51.4333,-114.0333
Ormstown,Quebec,45.13,-74
Cardston,Alberta,49.2025,-113.3019
De Salaberry,Manitoba,49.4403,-96.9844
Grande Cache,Alberta,53.8773,-119.1199
Saint-Agapit,Quebec,46.5667,-71.4333
Fruitvale,British Columbia,49.09869377,-117.5633821
Saint-Ambroise,Quebec,48.55,-71.3333
Westville,Nova Scotia,45.55,-62.7
Hay River,Northwest Territories,60.7531,-115.9004
Pasadena,Newfoundland and Labrador,49.0161,-57.605
Mistissini,Quebec,50.5707,-73.6829
Studholm,New Brunswick,45.8133,-65.5747
Lorette,Manitoba,49.7414,-96.8761
Saint-Faustin--Lac-Carre,Quebec,46.0813,-74.4668
Morris-Turnberry,Ontario,43.85,-81.25
Placentia,Newfoundland and Labrador,47.2458,-53.9611
Saint-Pascal,Quebec,47.5333,-69.8
Mulmur,Ontario,44.1917,-80.1083
Blind River,Ontario,46.1833,-82.95
Dunham,Quebec,45.1333,-72.8
High Level,Alberta,58.5169,-117.1361
Havre-Saint-Pierre,Quebec,50.2333,-63.6
Saint-Anselme,Quebec,46.6333,-70.9667
Trois-Pistoles,Quebec,48.12,-69.18
Grande-Riviere,Quebec,48.4,-64.5
Malartic,Quebec,48.1333,-78.1333
Bonavista,Newfoundland and Labrador,48.6597,-53.1208
Prince Albert No. 461,Saskatchewan,53.1089,-105.6574
Saint-Maurice,Quebec,46.4667,-72.5333
Killarney - Turtle Mountain,Manitoba,49.1775,-99.6906
Woodlands,Manitoba,50.2408,-97.7358
Lewisporte,Newfoundland and Labrador,49.23,-55.07
Invermere,British Columbia,50.5083,-116.0303
Bifrost-Riverton,Manitoba,51.0603,-97.1436
Ascot Corner,Quebec,45.45,-71.7667
Cartier,Manitoba,49.9161,-97.7
Fossambault-sur-le-Lac,Quebec,46.8667,-71.6167
Sainte-Anne-des-Lacs,Quebec,45.85,-74.1333
Saint-Sulpice,Quebec,45.8333,-73.35
Penhold,Alberta,52.1333,-113.8667
Powassan,Ontario,46.0825,-79.3619
Highlands East,Ontario,44.9667,-78.25
Saint-Alphonse-de-Granby,Quebec,45.3333,-72.8167
Sainte-Claire,Quebec,46.6,-70.8667
Bright,New Brunswick,46.1205,-67.0545
Ellison,British Columbia,49.9646,-119.3178
Perce,Quebec,48.5333,-64.2167
Saint-Jean-Port-Joli,Quebec,47.2167,-70.2667
East Hawkesbury,Ontario,45.5167,-74.4667
Buckland No. 491,Saskatchewan,53.3276,-105.7804
Saint-Andre-d'Argenteuil,Quebec,45.5667,-74.3333
Saint-Come--Liniere,Quebec,46.0667,-70.5167
Marathon,Ontario,48.75,-86.3667
Forestville,Quebec,48.7333,-69.0833
Compton,Quebec,45.2333,-71.8167
Shuniah,Ontario,48.5833,-88.8333
Inuvik,Northwest Territories,68.3407,-133.6096
Richmond,Quebec,45.6667,-72.15
Lake Cowichan,British Columbia,48.8258,-124.0542
Saint-Gabriel-de-Valcartier,Quebec,46.9333,-71.4667
Gibbons,Alberta,53.8278,-113.3228
Sables-Spanish Rivers,Ontario,46.2333,-82
Hillsburg-Roblin-Shell River,Manitoba,51.3343,-101.2929
Port Hawkesbury,Nova Scotia,45.6153,-61.3642
Three Hills,Alberta,51.7072,-113.2647
Kingston,New Brunswick,45.4663,-66.0217
Paspebiac,Quebec,48.0333,-65.25
Saint-Thomas,Quebec,46.0167,-73.35
Saint-Jean-Baptiste,Quebec,45.5167,-73.1167
Portneuf,Quebec,46.7,-71.8833
Pictou,Nova Scotia,45.6814,-62.7119
Tisdale,Saskatchewan,52.85,-104.05
Lake of Bays,Ontario,45.3043,-79.018
Bishops Falls,Newfoundland and Labrador,49.0167,-55.5167
WestLake-Gladstone,Manitoba,50.2862,-98.8415
Normandin,Quebec,48.8333,-72.5333
Mitchell,Manitoba,49.5363,-96.7634
Saint-Alphonse-Rodriguez,Quebec,46.1833,-73.7
Beausejour,Manitoba,50.0622,-96.5161
Dalhousie,New Brunswick,48.1,-66.6167
Val-Morin,Quebec,46,-74.18
Lac du Bonnet,Manitoba,50.2577,-96.1209
Clermont,Quebec,47.6833,-70.2333
Virden,Manitoba,49.8508,-100.9317
Saint-Christophe-d'Arthabaska,Quebec,46.0333,-71.8833
Mont-Saint-Gregoire,Quebec,45.3333,-73.1667
Thurso,Quebec,45.5969,-75.2433
Wellington,New Brunswick,46.4768,-64.7478
Cedar,British Columbia,49.0853,-123.8259
Saint-Gabriel,Quebec,46.3,-73.3833
Merrickville,Ontario,44.8539,-75.8269
Saint-Liboire,Quebec,45.65,-72.7667
Degelis,Quebec,47.55,-68.65
Morris,Manitoba,49.3986,-97.4592
Saint-Alexis-des-Monts,Quebec,46.4667,-73.1333
Cap-Saint-Ignace,Quebec,47.0333,-70.4667
Fort Macleod,Alberta,49.7256,-113.3975
Enderby,British Columbia,50.5508,-119.1397
Carman,Manitoba,49.4992,-98.0008
Saint-Anaclet-de-Lessard,Quebec,48.48,-68.42
Stoke,Quebec,45.5333,-71.8
Adelaide-Metcalfe,Ontario,42.95,-81.7
Melancthon,Ontario,44.15,-80.2667
Cap Sante,Quebec,46.6667,-71.7833
Saint-David-de-Falardeau,Quebec,48.6167,-71.1167
Harbour Grace,Newfoundland and Labrador,47.6917,-53.2167
Houston,British Columbia,54.3975,-126.6419
Springdale,Newfoundland and Labrador,49.4974,-56.0727
Pemberton,British Columbia,50.3203,-122.8053
Athabasca,Alberta,54.7197,-113.2856
Saint-Ferreol-les-Neiges,Quebec,47.1167,-70.85
Laurentian Hills,Ontario,46.1333,-77.55
Grand Valley,Ontario,43.95,-80.3667
Senneterre,Quebec,48.3833,-77.2333
Saint-Mathieu-de-Beloeil,Quebec,45.5667,-73.2
Sainte-Marie-Madeleine,Quebec,45.6,-73.1
Admaston/Bromley,Ontario,45.5292,-76.8969
North Algona Wilberforce,Ontario,45.6167,-77.2
Errington,British Columbia,49.2874,-124.3433
Wawa,Ontario,47.9931,-84.7736
Sainte-Melanie,Quebec,46.1333,-73.5167
Horton,Ontario,45.5,-76.6667
Saint-Paul-d'Abbotsford,Quebec,45.4333,-72.8833
Saint-Michel,Quebec,45.2333,-73.5667
Botwood,Newfoundland and Labrador,49.15,-55.3667
Coalhurst,Alberta,49.7457,-112.9319
Saint-Marc-des-Carrieres,Quebec,46.6833,-72.05
Stanstead,Quebec,45.0167,-72.1
Sainte-Anne-de-Beaupre,Quebec,47.0167,-70.9333
Sainte-Luce,Quebec,48.55,-68.38
Saint-Joseph-de-Sorel,Quebec,46.0446,-73.1308
Rankin Inlet,Nunavut,62.83,-92.1321
Kingsclear,New Brunswick,45.8796,-66.8695
Princeton,British Columbia,49.4589,-120.506
La Loche,Saskatchewan,56.4833,-109.4333
Ferme-Neuve,Quebec,46.7,-75.45
Yamachiche,Quebec,46.2667,-72.8333
Adstock,Quebec,46.05,-71.08
Cowichan Bay,British Columbia,48.7666,-123.6743
Vanscoy No. 345,Saskatchewan,52.0073,-107.0552
Enniskillen,Ontario,42.8167,-82.125
Royston,British Columbia,49.6405,-124.9406
Bonaventure,Quebec,48.05,-65.4833
Pohenegamook,Quebec,47.4667,-69.2167
Saint-Isidore,Quebec,45.3,-73.68
Wakefield,New Brunswick,46.2406,-67.6248
Arviat,Nunavut,61.0996,-94.1688
Sainte-Marguerite-du-Lac-Masson,Quebec,46.056,-74.0723
Saint-Prime,Quebec,48.58,-72.33
Kuujjuaq,Quebec,58.1429,-68.3742
Atikokan,Ontario,48.75,-91.6167
Grenville-sur-la-Rouge,Quebec,45.65,-74.6333
North Cypress-Langford,Manitoba,49.9969,-99.3982
Saint-Dominique,Quebec,45.5667,-72.85
Macamic,Quebec,48.75,-79
Sainte-Anne-de-Sorel,Quebec,46.05,-73.0667
Sundre,Alberta,51.7972,-114.6406
Rougemont,Quebec,45.4333,-73.05
Piedmont,Quebec,45.9,-74.13
Grimshaw,Alberta,56.1908,-117.6117
Lac-des-Ecorces,Quebec,46.55,-75.35
Markstay,Ontario,46.4912,-80.4717
Northeastern Manitoulin and the Islands,Ontario,45.9667,-81.9333
Pelican Narrows,Saskatchewan,55.1883,-102.9342
McDougall,Ontario,45.45,-80.0167
Black Diamond,Alberta,50.6881,-114.2333
Saint-Pamphile,Quebec,46.9667,-69.7833
Bedford,Quebec,45.1167,-72.9833
Weedon-Centre,Quebec,45.7,-71.4667
Lacolle,Quebec,45.0833,-73.3667
Saint-Gabriel-de-Brandon,Quebec,46.2667,-73.3833
Huntingdon,Quebec,45.08,-74.17
French River / Riviere des Francais,Ontario,46.1667,-80.5
Spaniards Bay,Newfoundland and Labrador,47.6181,-53.3369
Cocagne,New Brunswick,46.3406,-64.62
Pilot Butte,Saskatchewan,50.4667,-104.4167
Saint-Bruno,Quebec,48.4667,-71.65
Laurier-Station,Quebec,46.5333,-71.6333
Saint-Anicet,Quebec,45.12,-74.35
Cap-Chat,Quebec,49.1,-66.6833
Sexsmith,Alberta,55.3508,-118.7825
Notre-Dame-de-Lourdes,Quebec,46.1,-73.4333
Ville-Marie,Quebec,47.3333,-79.4333
Wickham,Quebec,45.75,-72.5
Shippegan,New Brunswick,47.7439,-64.7178
East Garafraxa,Ontario,43.85,-80.25
Unity,Saskatchewan,52.4333,-109.1667
Rimbey,Alberta,52.6333,-114.2167
High Prairie,Alberta,55.4325,-116.4861
Turner Valley,Alberta,50.6739,-114.2786
Hanna,Alberta,51.6383,-111.9419
Neuville,Quebec,46.7,-71.5833
Fort Smith,Northwest Territories,60.026,-112.0821
Maria,Quebec,48.1667,-65.9833
Saint-Chrysostome,Quebec,45.1,-73.7667
Greater Madawaska,Ontario,45.2722,-76.8589
Berwick,Nova Scotia,45.0475,-64.736
Saint-Damase,Quebec,45.5333,-73
Disraeli,Quebec,45.9,-71.35
Meadow Lake No. 588,Saskatchewan,54.1213,-108.2837
Elkford,British Columbia,50.0214,-114.9158
Georgian Bay,Ontario,44.9833,-79.8167
Saint-Alexandre,Quebec,45.2333,-73.1167
Herbertville,Quebec,48.3473,-71.6784
Moosomin,Saskatchewan,50.142,-101.67
Highlands,British Columbia,48.52,-123.5
North Kawartha,Ontario,44.75,-78.1
Sainte-Thecle,Quebec,46.8167,-72.5
Fermont,Quebec,52.7833,-67.0833
Esterhazy,Saskatchewan,50.65,-102.0667
Holyrood,Newfoundland and Labrador,47.3833,-53.1333
La Presentation,Quebec,45.6667,-73.05
Beaverlodge,Alberta,55.2094,-119.4292
Sainte-Catherine-de-Hatley,Quebec,45.25,-72.05
Saint-Basile,Quebec,46.75,-71.8167
Saint-Raphael,Quebec,46.8,-70.75
Saint-Martin,Quebec,45.9667,-70.65
Causapscal,Quebec,48.3667,-67.2333
Brigham,Quebec,45.25,-72.85
Sainte-Victoire-de-Sorel,Quebec,45.95,-73.0833
Perry,Ontario,45.5,-79.2833
Port-Daniel--Gascons,Quebec,48.1833,-64.9667
Rosetown,Saskatchewan,51.55,-107.9833
Minnedosa,Manitoba,50.2453,-99.8428
Labelle,Quebec,46.2833,-74.7333
Lincoln,New Brunswick,45.8716,-66.5437
Black River-Matheson,Ontario,48.5333,-80.4667
Saint-Michel-des-Saints,Quebec,46.6833,-73.9167
Dufferin,Manitoba,49.5319,-98.07
Saint-Victor,Quebec,46.15,-70.9
Sicamous,British Columbia,50.8378,-118.9703
Cap Pele,New Brunswick,46.2172,-64.2822
Kelsey,Manitoba,53.7356,-101.395
"Killaloe, Hagarty and Richards",Ontario,45.6,-77.5
Alvinston,Ontario,42.8489,-81.9049
Trenton,Nova Scotia,45.6193,-62.6332
Lunenburg,Nova Scotia,44.3833,-64.3167
Saint-Ephrem-de-Beauce,Quebec,46.0516,-70.9374
Chase,British Columbia,50.8189,-119.6844
Lery,Quebec,45.35,-73.8
Assiniboia,Saskatchewan,49.6167,-105.9833
Tumbler Ridge,British Columbia,55.1333,-121
Salisbury,New Brunswick,46.03778842,-65.04790599
Temiscaming,Quebec,46.7167,-79.1
Magrath,Alberta,49.4239,-112.8683
Sainte-Genevieve-de-Berthier,Quebec,46.0833,-73.2167
Logy Bay-Middle Cove-Outer Cove,Newfoundland and Labrador,47.63,-52.68
Buctouche,New Brunswick,46.4719,-64.7249
Grand Manan,New Brunswick,44.69,-66.82
Sainte-Madeleine,Quebec,45.6,-73.1
Anmore,British Columbia,49.3144,-122.8564
Sainte-Croix,Quebec,46.62,-71.73
Algonquin Highlands,Ontario,45.4,-78.75
Valcourt,Quebec,45.5,-72.3167
Gimli,Manitoba,50.63309122,-96.99232943
Saint George,New Brunswick,45.2916,-66.8501
Saint-Mathieu,Quebec,45.3167,-73.5164
Paquetville,New Brunswick,47.6334,-65.1803
Clearwater,British Columbia,51.65,-120.0333
Addington Highlands,Ontario,45,-77.25
Lillooet,British Columbia,50.6864,-121.9364
Burin,Newfoundland and Labrador,47.05,-55.18
Grand Bank,Newfoundland and Labrador,47.1,-55.7833
Waterville,Quebec,45.2667,-71.9
Minto,New Brunswick,46.1497,-66.1067
Rosthern No. 403,Saskatchewan,52.6206,-106.3967
Mansfield-et-Pontefract,Quebec,45.8611,-76.7392
Saint-Denis,Quebec,45.7833,-73.15
Gore,Quebec,45.77,-74.25
Outlook,Saskatchewan,51.5,-107.05
Saint-Gedeon-de-Beauce,Quebec,45.85,-70.6333
Saint-Leonard-d'Aston,Quebec,46.1,-72.3667
Fort-Coulonge,Quebec,45.85,-76.7333
Albanel,Quebec,48.8833,-72.45
St. Anthony,Newfoundland and Labrador,51.3725,-55.5947
Pessamit,Quebec,49.0485,-68.6814
Logan Lake,British Columbia,50.4911,-120.8153
Maskinonge,Quebec,46.2333,-73.0167
Saint-Charles-de-Bellechasse,Quebec,46.7667,-70.95
Fogo Island,Newfoundland and Labrador,49.6667,-54.1833
Neebing,Ontario,48.1833,-89.4667
Port McNeill,British Columbia,50.5903,-127.0847
Hatley,Quebec,45.27,-71.95
East Broughton,Quebec,46.2167,-71.0667
Saint-Polycarpe,Quebec,45.3,-74.3
Deschambault,Quebec,46.6436,-72.0236
Canora,Saskatchewan,51.6339,-102.4369
Upper Miramichi,New Brunswick,46.5254,-66.2085
Tofino,British Columbia,49.1275,-125.8852
Hardwicke,New Brunswick,47.0208,-65.0302
Wendake,Quebec,46.8693,-71.3628
Saint-Come,Quebec,46.27,-73.78
Waskaganish,Quebec,51.3674,-78.7069
Twillingate,Newfoundland and Labrador,49.6444,-54.7436
Saint-Quentin,New Brunswick,47.5135,-67.3921
Lebel-sur-Quevillon,Quebec,49.05,-76.9833
Calmar,Alberta,53.25,-113.7833
Nanton,Alberta,50.3494,-113.7717
Pierreville,Quebec,46.0667,-72.8167
New-Wes-Valley,Newfoundland and Labrador,49.15,-53.5833
Pennfield Ridge,New Brunswick,45.1924,-66.6858
Northesk,New Brunswick,47.2569,-66.2613
West Interlake,Manitoba,50.9837,-98.3572
Biggar,Saskatchewan,52.059,-107.979
Kent,New Brunswick,46.6221,-67.2953
Maple Creek,Saskatchewan,49.9167,-109.4667
Wabana,Newfoundland and Labrador,47.65,-52.9333
Bonfield,Ontario,46.2167,-79.1333
Saint-Gilles,Quebec,46.5167,-71.3667
Saint-Bernard,Quebec,46.5,-71.1333
Sainte-Cecile-de-Milton,Quebec,45.4833,-72.75
Saint-Roch-de-Richelieu,Quebec,45.8833,-73.1667
Burns Lake,British Columbia,54.2292,-125.7625
Redwater,Alberta,53.9489,-113.1067
Saint-Nazaire,Quebec,48.5833,-71.5333
Westfield Beach,New Brunswick,45.3432,-66.2868
Saltair,British Columbia,48.9504,-123.7637
Saint-Elzear,Quebec,46.4,-71.0667
Hinchinbrooke,Quebec,45.05,-74.1
Dundurn No. 314,Saskatchewan,51.8261,-106.5416
Saint-Francois-Xavier-de-Brompton,Quebec,45.5333,-72.05
Papineauville,Quebec,45.6167,-75.0167
Prairie View,Manitoba,50.3304,-100.9803
Saint-Ignace-de-Loyola,Quebec,46.0667,-73.1333
Central Manitoulin,Ontario,45.7167,-82.2
Glovertown,Newfoundland and Labrador,48.6667,-54.05
Tofield,Alberta,53.3703,-112.6667
Madoc,Ontario,44.5833,-77.5167
Sainte-Anne-de-Sabrevois,Quebec,45.2,-73.2167
Sainte-Anne-de-la-Perade,Quebec,46.5833,-72.2
Saint-Damien-de-Buckland,Quebec,46.6333,-70.6667
Baker Lake,Nunavut,64.3287,-96.0308
Saint-Ferdinand,Quebec,46.1,-71.5667
Pouch Cove,Newfoundland and Labrador,47.767,-52.767
Britannia No. 502,Saskatchewan,53.4236,-109.7772
Saint-Fulgence,Quebec,48.45,-70.9
Digby,Nova Scotia,44.6222,-65.7606
Manouane,Quebec,47.2091,-74.3833
Saint-Gervais,Quebec,46.7167,-70.8833
Saint-Alexandre-de-Kamouraska,Quebec,47.6817,-69.625
Saint-Marc-sur-Richelieu,Quebec,45.6833,-73.2
Mandeville,Quebec,46.3667,-73.35
Caplan,Quebec,48.1,-65.6833
Allardville,New Brunswick,47.4321,-65.4383
Saint-Damien,Quebec,46.33,-73.48
Lac-Nominingue,Quebec,46.4,-75.0333
Obedjiwan,Quebec,48.6686,-74.9289
Rama,Saskatchewan,51.7578,-103.0008
Deloraine-Winchester,Manitoba,49.1775,-100.4322
Oakland-Wawanesa,Manitoba,49.6208,-99.8481
Brenda-Waskada,Manitoba,49.1775,-100.7019
Russell-Binscarth,Manitoba,50.7272,-101.3689
Ellice-Archie,Manitoba,50.3239,-101.2729
Souris-Glenwood,Manitoba,49.6208,-100.2581
Riverdale,Manitoba,49.975,-100.2789
Pembina,Manitoba,49.1775,-98.5408
Wallace-Woodworth,Manitoba,49.9156,-100.9389
Lorne,Manitoba,49.4436,-98.7494
Yellowhead,Manitoba,50.4847,-100.4828
Swan Valley West,Manitoba,51.9978,-101.3944
Grey,Manitoba,49.7094,-98.0736
Gilbert Plains,Manitoba,51.1547,-100.4381
Norfolk-Treherne,Manitoba,49.6653,-98.5967
Emerson-Franklin,Manitoba,49.1333,-97.0331
Sifton,Manitoba,49.6653,-100.6678
Grassland,Manitoba,49.4306,-100.3103
Louise,Manitoba,49.1772,-98.8794
Ste. Rose,Manitoba,51.0222,-99.4306
Cartwright-Roblin,Manitoba,49.1331,-99.2797
Mossey River,Manitoba,51.755,-99.9664
Lakeshore,Manitoba,51.244,-99.6562
Riding Mountain West,Manitoba,50.8347,-101.0961
Clanwilliam-Erickson,Manitoba,50.5061,-99.8156
Glenboro-South Cypress,Manitoba,49.665,-99.3708
North Norfolk,Manitoba,49.9308,-98.8356
Reinland,Manitoba,49.1331,-97.5942
Minitonas-Bowsman,Manitoba,52.1433,-100.9772
Kippens,Newfoundland and Labrador,48.5492,-58.6236
Saint-Gedeon,Quebec,48.5,-71.7667
Lumby,British Columbia,50.2494,-118.9656
Kingsey Falls,Quebec,45.85,-72.0667
Provost,Alberta,52.3539,-110.2686
Saint-Charles,New Brunswick,46.6692,-65.0184
Swift Current No. 137,Saskatchewan,50.2211,-107.8559
Mattawa,Ontario,46.3167,-78.7
Blucher,Saskatchewan,52.0134,-106.2176
L'Ascension-de-Notre-Seigneur,Quebec,48.7,-71.6833
Bow Island,Alberta,49.8667,-111.3667
Barraute,Quebec,48.4333,-77.6333
One Hundred Mile House,British Columbia,51.6413,-121.3127
Saint-Liguori,Quebec,46.0167,-73.5667
Saint Mary,New Brunswick,46.3987,-64.8681
Saint-Patrice-de-Sherrington,Quebec,45.1667,-73.5167
Fox Creek,Alberta,54.395,-116.8092
Lumsden No. 189,Saskatchewan,50.6734,-104.7686
Dawn-Euphemia,Ontario,42.7,-82.0167
Chapleau,Ontario,47.8333,-83.4
Saint-Esprit,Quebec,45.9,-73.6667
Montague,Prince Edward Island,46.1652,-62.65
Mashteuiatsh,Quebec,48.569,-72.2495
Saint-Francois-du-Lac,Quebec,46.0667,-72.8333
Petit Rocher,New Brunswick,47.7839,-65.7159
Eel River Crossing,New Brunswick,48.0125,-66.4208
Millet,Alberta,53.0978,-113.4728
Ucluelet,British Columbia,48.9358,-125.5433
Vallee-Jonction,Quebec,46.3667,-70.9167
Manitouwadge,Ontario,49.1333,-85.8333
Wellington,Ontario,43.9579,-77.3534
Frontenac Islands,Ontario,44.2,-76.3833
Point Edward,Ontario,42.9931,-82.4083
Picture Butte,Alberta,49.8731,-112.78
Manners Sutton,New Brunswick,45.6417,-67.0609
Fort Qu'Appelle,Saskatchewan,50.7667,-103.7833
Vulcan,Alberta,50.4,-113.25
Chetwynd,British Columbia,55.6972,-121.6333
Indian Head,Saskatchewan,50.5333,-103.6667
Wabush,Newfoundland and Labrador,52.9081,-66.869
Saint-Fabien,Quebec,48.3,-68.87
Harrison Hot Springs,British Columbia,49.3,-121.7819
Watrous,Saskatchewan,51.6841,-105.4661
North Frontenac,Ontario,44.95,-76.9
